PopulationID,Rank,Code,Country,Capital,Continent,Population,Area (km²),Density (per km²),GrowthRate,WorldPopulationPercentage
196,86,SSD,South Sudan,Juba,Africa,10913164,619745,17.6091,1.0153,0.14
197,30,ESP,Spain,Madrid,Europe,47558630,505992,93.9909,1.0015,0.6
198,61,LKA,Sri Lanka,Colombo,Asia,21832143,65610,332.7563,1.0027,0.27
199,32,SDN,Sudan,Khartoum,Africa,46874204,1886068,24.8529,1.0267,0.59
200,170,SUR,Suriname,Paramaribo,South America,618040,163820,3.7727,1.0082,0.01
201,87,SWE,Sweden,Stockholm,Europe,10549347,450295,23.4276,1.0079,0.13
202,101,CHE,Switzerland,Bern,Europe,8740472,41284,211.7157,1.0056,0.11
203,60,SYR,Syria,Damascus,Asia,22125249,185180,119.4797,1.0376,0.28
204,57,TWN,Taiwan,Taipei,Asia,23893394,36193,660.1662,1.0014,0.3
205,95,TJK,Tajikistan,Dushanbe,Asia,9952787,143100,69.5513,1.0208,0.12
206,22,TZA,Tanzania,Dodoma,Africa,65497748,945087,69.3034,1.03,0.82
207,20,THA,Thailand,Bangkok,Asia,71697030,513120,139.7276,1.0013,0.9
208,155,TLS,Timor-Leste,Dili,Asia,1341296,14874,90.1772,1.0154,0.02
209,100,TGO,Togo,Lomé,Africa,8848699,56785,155.8281,1.0236,0.11
210,233,TKL,Tokelau,Nukunonu,Oceania,1871,12,155.9167,1.0119,0.0
211,197,TON,Tonga,Nuku‘alofa,Oceania,106858,747,143.0495,1.0079,0.0
212,153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1531044,5130,298.4491,1.0035,0.02
213,79,TUN,Tunisia,Tunis,Africa,12356117,163610,75.5218,1.0076,0.15
214,18,TUR,Turkey,Ankara,Asia,85341241,783562,108.9145,1.0067,1.07
215,111,TKM,Turkmenistan,Ashgabat,Asia,6430770,488100,13.1751,1.014,0.08
216,212,TCA,Turks and Caicos Islands,Cockburn Town,North America,45703,948,48.2099,1.0131,0.0
217,227,TUV,Tuvalu,Funafuti,Oceania,11312,26,435.0769,1.0096,0.0
218,31,UGA,Uganda,Kampala,Africa,47249585,241550,195.61,1.0304,0.59
219,38,UKR,Ukraine,Kiev,Europe,39701739,603500,65.7858,0.912,0.5
220,97,ARE,United Arab Emirates,Abu Dhabi,Asia,9441129,83600,112.9322,1.0081,0.12
221,21,GBR,United Kingdom,London,Europe,67508936,242900,277.9289,1.0034,0.85
222,3,USA,United States,"Washington, D.C.",North America,338289857,9372610,36.0935,1.0038,4.24
223,200,VIR,United States Virgin Islands,Charlotte Amalie,North America,99465,347,286.6427,0.9937,0.0
224,133,URY,Uruguay,Montevideo,South America,3422794,181034,18.9069,0.999,0.04
225,43,UZB,Uzbekistan,Tashkent,Asia,34627652,447400,77.3975,1.016,0.43
226,181,VUT,Vanuatu,Port-Vila,Oceania,326740,12189,26.8061,1.0238,0.0
227,234,VAT,Vatican City,Vatican City,Europe,510,1,510.0,0.998,0.0
228,51,VEN,Venezuela,Caracas,South America,28301696,916445,30.882,1.0036,0.35
229,16,VNM,Vietnam,Hanoi,Asia,98186856,331212,296.4472,1.0074,1.23
230,226,WLF,Wallis and Futuna,Mata-Utu,Oceania,11572,142,81.493,0.9953,0.0
231,172,ESH,Western Sahara,El Aaiún,Africa,575986,266000,2.1654,1.0184,0.01
232,46,YEM,Yemen,Sanaa,Asia,33696614,527968,63.8232,1.0217,0.42
233,63,ZMB,Zambia,Lusaka,Africa,20017675,752612,26.5976,1.028,0.25
234,74,ZWE,Zimbabwe,Harare,Africa,16320537,390757,41.7665,1.0204,0.2
