ChildMortalityID,CountryKey,DateID,genderID,HealthCoverageDataID,HungerKey,PovertyDataID,SuicideKey,PopulationID,HungerKey,PovertyDataID,ChildMortality,MortalityRate
212,29,39,2,322,55,59,341,28,55,59,4079.0,0.0433359820092885
213,29,39,2,322,55,59,342,28,55,59,4079.0,0.0433359820092885
214,29,39,2,322,55,60,340,28,55,60,4079.0,0.0433359820092885
215,29,39,2,322,55,60,341,28,55,60,4079.0,0.0433359820092885
216,29,39,2,322,55,60,342,28,55,60,4079.0,0.0433359820092885
217,29,39,2,322,55,61,340,28,55,61,4079.0,0.0433359820092885
218,29,39,2,322,55,61,341,28,55,61,4079.0,0.0433359820092885
219,29,39,2,322,55,61,342,28,55,61,4079.0,0.0433359820092885
220,29,39,2,322,55,62,340,28,55,62,4079.0,0.0433359820092885
221,29,39,2,322,55,62,341,28,55,62,4079.0,0.0433359820092885
222,29,39,2,322,55,62,342,28,55,62,4079.0,0.0433359820092885
223,29,39,2,322,55,63,340,28,55,63,4079.0,0.0433359820092885
224,29,39,2,322,55,63,341,28,55,63,4079.0,0.0433359820092885
225,29,39,2,322,55,63,342,28,55,63,4079.0,0.0433359820092885
226,29,39,2,322,56,59,340,28,56,59,4079.0,0.0433359820092885
227,29,39,2,322,56,59,341,28,56,59,4079.0,0.0433359820092885
228,29,39,2,322,56,59,342,28,56,59,4079.0,0.0433359820092885
229,29,39,2,322,56,60,340,28,56,60,4079.0,0.0433359820092885
230,29,39,2,322,56,60,341,28,56,60,4079.0,0.0433359820092885
231,29,39,2,322,56,60,342,28,56,60,4079.0,0.0433359820092885
232,29,39,2,322,56,61,340,28,56,61,4079.0,0.0433359820092885
233,29,39,2,322,56,61,341,28,56,61,4079.0,0.0433359820092885
234,29,39,2,322,56,61,342,28,56,61,4079.0,0.0433359820092885
235,29,39,2,322,56,62,340,28,56,62,4079.0,0.0433359820092885
236,29,39,2,322,56,62,341,28,56,62,4079.0,0.0433359820092885
237,29,39,2,322,56,62,342,28,56,62,4079.0,0.0433359820092885
238,29,39,2,322,56,63,340,28,56,63,4079.0,0.0433359820092885
239,29,39,2,322,56,63,341,28,56,63,4079.0,0.0433359820092885
240,29,39,2,322,56,63,342,28,56,63,4079.0,0.0433359820092885
241,29,39,1,322,53,59,340,28,53,59,5223.0,0.0567704482198078
242,29,39,1,322,53,59,341,28,53,59,5223.0,0.0567704482198078
243,29,39,1,322,53,59,342,28,53,59,5223.0,0.0567704482198078
244,29,39,1,322,53,60,340,28,53,60,5223.0,0.0567704482198078
245,29,39,1,322,53,60,341,28,53,60,5223.0,0.0567704482198078
246,29,39,1,322,53,60,342,28,53,60,5223.0,0.0567704482198078
247,29,39,1,322,53,61,340,28,53,61,5223.0,0.0567704482198078
248,29,39,1,322,53,61,341,28,53,61,5223.0,0.0567704482198078
249,29,39,1,322,53,61,342,28,53,61,5223.0,0.0567704482198078
250,29,39,1,322,53,62,340,28,53,62,5223.0,0.0567704482198078
251,29,39,1,322,53,62,341,28,53,62,5223.0,0.0567704482198078
252,29,39,1,322,53,62,342,28,53,62,5223.0,0.0567704482198078
253,29,39,1,322,53,63,340,28,53,63,5223.0,0.0567704482198078
254,29,39,1,322,53,63,341,28,53,63,5223.0,0.0567704482198078
255,29,39,1,322,53,63,342,28,53,63,5223.0,0.0567704482198078
256,29,39,1,322,54,59,340,28,54,59,5223.0,0.0567704482198078
257,29,39,1,322,54,59,341,28,54,59,5223.0,0.0567704482198078
258,29,39,1,322,54,59,342,28,54,59,5223.0,0.0567704482198078
259,29,39,1,322,54,60,340,28,54,60,5223.0,0.0567704482198078
260,29,39,1,322,54,60,341,28,54,60,5223.0,0.0567704482198078
261,29,39,1,322,54,60,342,28,54,60,5223.0,0.0567704482198078
262,29,39,1,322,54,61,340,28,54,61,5223.0,0.0567704482198078
263,29,39,1,322,54,61,341,28,54,61,5223.0,0.0567704482198078
264,29,39,1,322,54,61,342,28,54,61,5223.0,0.0567704482198078
265,29,39,1,322,54,62,340,28,54,62,5223.0,0.0567704482198078
266,29,39,1,322,54,62,341,28,54,62,5223.0,0.0567704482198078
267,29,39,1,322,54,62,342,28,54,62,5223.0,0.0567704482198078
268,29,39,1,322,54,63,340,28,54,63,5223.0,0.0567704482198078
269,29,39,1,322,54,63,341,28,54,63,5223.0,0.0567704482198078
270,29,39,1,322,54,63,342,28,54,63,5223.0,0.0567704482198078
271,29,39,1,322,55,59,340,28,55,59,5223.0,0.0567704482198078
272,29,39,1,322,55,59,341,28,55,59,5223.0,0.0567704482198078
273,29,39,1,322,55,59,342,28,55,59,5223.0,0.0567704482198078
274,29,39,1,322,55,60,340,28,55,60,5223.0,0.0567704482198078
275,29,39,1,322,55,60,341,28,55,60,5223.0,0.0567704482198078
276,29,39,1,322,55,60,342,28,55,60,5223.0,0.0567704482198078
277,29,39,1,322,55,61,340,28,55,61,5223.0,0.0567704482198078
